prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,espn_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
tgcj6dd42c,Cole,Gerrit,,1990,9,8,colege01,,13125,543037,8231,colege01,9121
tjy4dm2vbc,Cronenworth,Jake,,1994,1,21,croneja01,,18036,630105,10766,croneja01,11692
tk5qp4sjpg,Rodon,Carlos,,1992,12,10,rodonca01,,16137,607074,8942,rodonca01,9823
tk6zcqcdc4,Diaz,Elias,,1990,11,17,diazel01,,11680,553869,9153,diazel01,10076
tmz9gsrk10,Corbin,Patrick,,1989,7,19,corbipa01,,9323,571578,8272,corbipa01,9168
tp7mgp8bfw,Ferguson,Tyler,,1993,10,5,ferguty01,,19481,621053,12087,ferguty01,61755
tqzf9f7ty4,Schwellenbach,Spencer,,2000,5,31,schwesp01,,31846,680885,12096,schwesp01,12363
trdkr34ntm,Holderman,Colin,,1995,10,8,holdeco01,,22361,670059,11469,holdeco01,12616
tz4tfvk0xm,Kjerstad,Heston,,1999,2,12,kjershe01,,31166,677008,11771,kjershe01,12121
v0hwgpa2e4,Cabrera,Edward,,1998,4,13,cabreed02,,21690,665795,10721,cabreed02,10903
v0qcf6px64,Chapman,Aroldis,,1988,2,28,chapmar01,,10233,547973,7709,chapmar01,8616
v2f5fqr900,De Los Santos,Deyvison,,2003,6,21,delosde01,,sa3015168,691277,11615,delosde01,60057
v2sbjwmvpw,Anderson,Tyler,,1989,12,30,anderty01,,12880,542881,9107,anderty01,10031
v2sj5ejc6g,Stephenson,Robert,,1993,2,24,stephro01,,13594,596112,8650,stephro01,9563
v3tkezg4c8,Thorpe,Drew,,2000,10,1,thorpdr01,,31967,689672,11896,thorpdr01,60297
v4h1sfcj40,Tauchman,Mike,,1990,12,3,tauchmi01,,15274,643565,9698,tauchmi01,10747
v577m59m7c,Baldwin,Brooks,,2000,8,15,baldwbr01,,31394,681460,12128,baldwbr01,63544
v5v328cqe8,Cannon,Jonathan,,2000,7,19,cannojo02,,31730,686563,12078,cannojo02,60159
v5ye5ja680,Aranda,Jonathan,,1998,5,23,arandjo01,,21837,666018,11394,arandjo01,12309
v6x0s407q4,Gelof,Zack,,1999,10,19,gelofza01,,29766,680869,11624,gelofza01,12503
v758z7xahg,Jones,Nolan,,1998,5,7,jonesno01,,20529,666134,10304,jonesno01,10463
v80nhgknqr,Stephenson,Tyler,,1996,8,16,stephty01,,17988,663886,10358,stephty01,10456
v8bdsfr7nc,Matz,Steven,,1991,5,29,matzst01,,13361,571927,8689,matzst01,9599
v8f23br3yw,Caglianone,Jac,,2003,2,9,caglija01,,sa3025245,695506,12211,caglija01,64312
v8p2gj99a4,Alexander,Tyler,,1994,7,14,alexaty01,,17735,641302,10646,alexaty01,10469
v8pwbdba0w,Martin,Davis,,1997,1,4,martida03,,21448,663436,11470,martida03,12617
ve0qebs8e4,Hall,DL,,1998,9,19,halldl01,,22207,669084,10187,halldl01,10848
vg85sk4fe4,Waldron,Matt,,1996,9,26,waldrma01,,25550,663362,11815,waldrma01,61395
